movieId,UMAP1,UMAP2,cluster
619,17.863234,3.000773,1
33826,21.217722,2.4128785,2
1298,20.025936,4.065888,1
140289,20.00509,3.3611221,1
3064,18.675707,3.3529654,1
2868,19.703106,1.5534266,0
27826,18.5458,2.3411107,0
1950,21.711483,2.4072618,2
27802,20.500702,2.7833114,2
7149,21.141577,3.4642417,2
4334,21.171162,2.1322553,2
39234,20.560125,1.9829237,2
5562,21.949917,1.1415771,2
6678,18.191835,2.5436258,1
5313,20.751568,4.180979,1
7205,22.494244,1.5830159,2
573,18.857264,1.798761,0
5849,20.24577,1.4711169,0
3075,22.084108,1.8222524,2
5619,20.991438,2.0574605,2
4133,20.545496,2.485083,2
179,19.85717,1.7506365,0
5364,20.89529,1.2618712,0
912,21.015917,3.8719294,1
2333,19.098032,2.7865708,1
198,21.921745,4.003817,2
7010,18.052166,3.5836754,1
6405,21.015354,2.0814843,2
3833,20.49906,1.6136107,0
107141,21.407724,2.9040217,2
4610,19.481415,4.055281,1
3857,21.285475,3.636595,2
26133,18.255306,0.6951585,0
161634,21.763044,3.9914432,2
51086,21.690187,3.299224,2
4975,20.196217,2.7749403,1
27604,20.184046,2.9079795,1
3019,18.105232,2.28345,0
56788,19.933432,2.8987432,1
8984,20.865294,3.340843,2
161354,20.063852,3.9764714,1
26242,21.830547,1.3126298,2
66198,19.997938,-0.09723935,0
27627,20.02546,0.12880677,0
58105,18.725203,4.0889354,1
73344,20.46557,4.629094,1
2952,21.349485,4.373275,2
113,19.985197,0.9729394,0
133879,20.22932,4.091436,1
5268,21.203838,0.90358037,2
3700,22.116482,1.9084014,2
171751,20.66459,3.9477577,1
6618,18.423326,1.1418412,0
6873,20.113941,2.1346004,0
163527,21.970285,4.1021185,2
93740,20.244455,0.44940597,0
30793,21.353262,2.7772174,2
139644,21.370337,2.829601,2
45503,20.273361,2.7702951,1
1990,21.763107,3.2840874,2
7013,21.660545,1.783936,2
2969,21.356014,1.3567271,2
2339,21.915817,1.8764077,2
25757,21.41003,2.9093578,2
31123,20.324173,2.141673,0
4205,22.451866,1.9623944,2
4032,18.263044,1.7011456,0
25996,20.552896,2.6768153,2
6911,20.904839,1.5398278,2
139642,19.944105,1.569155,0
45440,19.635931,0.7945306,0
160954,18.923605,2.8271313,1
8261,21.377031,2.519043,2
149350,19.473667,4.1012435,1
2818,19.8786,0.84018004,0
4200,19.503386,2.6786175,1
97860,21.039776,1.1437511,2
193565,20.642744,3.887093,1
62299,19.298668,1.3071432,0
5293,20.181353,4.171241,1
4034,20.162466,2.2024488,0
8373,19.715036,2.4338055,1
76743,18.59927,2.025061,0
1601,21.377583,3.7045949,2
6557,18.398916,1.0103892,0
129657,21.003622,2.6749525,2
2554,19.285456,1.6450318,0
3535,21.029593,3.8394508,2
60074,18.796175,0.50706357,0
65685,19.726446,1.644356,0
90719,19.002764,3.3700435,1
72603,18.372644,1.9408863,0
3663,21.490616,3.7196062,2
79251,21.974323,1.8015566,2
4326,20.75421,4.267887,1
4426,20.182135,2.3803174,0
74727,19.338123,4.1015882,1
4970,18.805897,2.6611001,1
3512,20.793676,1.2008716,0
5704,20.125603,3.5603101,1
62293,19.736591,3.9881518,1
1054,20.651583,2.097224,2
6429,20.783844,1.9465951,2
38198,19.152325,2.3999104,0
8638,20.080208,0.32691044,0
5416,19.88165,2.9395492,1
45720,21.400032,3.5670726,2
1652,20.04663,0.47888637,0
96471,20.286688,3.0941982,1
8778,18.903524,2.8824396,1
4780,21.625315,1.1769972,2
649,22.603363,1.7346832,2
141422,20.330069,3.668299,1
160848,20.495228,2.9440124,1
27,21.594555,2.6395369,2
6990,21.257036,1.7169261,2
5643,19.89529,0.23933037,0
3355,19.044481,3.585005,1
1956,22.784128,1.5889652,2
3451,22.431662,2.0164309,2
1739,21.251974,3.421825,2
44613,21.672922,2.7688556,2
109971,19.303947,2.7362082,1
5915,21.092365,3.818358,2
1621,18.905014,2.6711917,1
3410,18.441887,0.69429106,0
984,20.103136,4.1893425,1
501,18.888577,2.2095747,0
5956,20.193558,4.465773,1
4809,19.68624,1.3521409,0
3809,19.326242,1.6370866,0
1556,19.26033,1.7374622,0
81018,22.066021,1.1342998,2
5836,21.710377,2.1744134,2
4725,20.235455,2.0494537,0
6417,18.354582,3.5464203,1
3306,19.92782,3.5196543,1
5932,18.170073,2.2676592,0
109383,20.550522,2.7093515,2
3629,19.119894,3.3681092,1
27905,19.391716,2.2171729,0
368,20.69963,2.5265555,2
1351,20.685827,3.3331904,1
93270,19.108751,1.2336303,0
149830,20.084087,2.907494,1
3338,22.436415,1.1371802,2
96448,19.768705,2.5824096,1
3827,21.589294,2.9988306,2
2485,20.206036,1.4147134,0
5537,19.041462,2.3556373,0
101973,19.135942,2.908049,1
631,18.433432,2.004932,0
69529,18.107422,0.74810094,0
65882,21.835394,1.2672424,2
720,21.045166,3.13297,2
180987,17.978867,0.753578,0
4063,19.46353,0.8304632,0
6051,20.837952,3.0671678,2
54736,20.658611,0.52481496,0
2290,20.695766,3.0013397,2
105037,19.45985,2.269063,0
8641,19.681778,2.3406572,0
564,19.04141,3.138021,1
4581,18.875042,2.2408223,0
5922,20.811245,3.1091297,2
3793,19.539177,3.9585164,1
3007,19.873466,4.1671143,1
6689,21.447838,2.6375268,2
167746,20.445595,2.831641,1
43912,19.011606,1.6860005,0
6577,19.408115,3.3604255,1
70728,22.531504,2.8232949,2
3884,20.843906,0.63815504,0
116411,20.273659,0.6657315,0
3948,18.79669,0.0072069797,0
2541,19.869514,2.0941157,0
168712,18.904638,2.4488697,0
26322,21.078136,0.6574068,0
62374,20.733248,2.580648,2
6880,21.141418,3.0094187,2
142020,19.63676,2.4033098,0
7292,22.177708,2.9893882,2
3368,22.632055,2.3137374,2
456,19.164692,3.7742064,1
1771,20.069437,-0.015157831,0
5712,18.272472,3.749717,1
148,21.89848,1.9677262,2
3262,20.642637,4.2568755,1
2104,20.97755,3.8728118,1
2634,20.34616,3.3344083,1
27006,19.116854,3.17253,1
118198,18.850092,0.443843,0
8327,20.521837,3.8610392,1
31545,18.89729,2.2232866,0
2889,20.222055,4.4924445,1
105351,19.520664,2.6085317,1
108932,19.35576,2.427781,0
3090,17.911846,1.0699869,0
703,18.705805,0.5734212,0
8093,20.43321,3.1637993,1
185435,20.811512,3.2595732,2
1282,19.699478,4.364144,1
9010,19.242163,2.4610548,1
1927,22.503134,1.4319739,2
632,20.40994,3.4647007,1
8773,20.637337,1.8323662,2
180095,19.283684,4.3475747,1
1957,21.86372,0.988707,2
166183,21.11093,3.491254,2
3448,22.51198,1.5894148,2
